Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome,Current Subset,Best Subset
1,47,"[1, 4, 6, 8, 12, 13, 14, 16, 17, 19, 23, 24, 25, 29, 30, 32, 33, 36, 38, 39, 41, 42, 43, 44, 47, 48, 49, 52, 54, 55, 57, 58, 60, 61, 62, 68, 69, 73, 75, 76, 77, 79, 82, 84, 85, 88, 90]",0.8422971741112124,0.8422971741112124,-,-,Improved,"['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'x_acc_std', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'speed_off_kur', 'pressure_on_mean', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height']","['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'x_acc_std', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'speed_off_kur', 'pressure_on_mean', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height']"
2,46,"[1, 4, 6, 8, 12, 13, 14, 16, 17, 19, 23, 24, 25, 29, 30, 32, 33, 36, 38, 39, 41, 42, 43, 44, 47, 48, 49, 52, 54, 55, 58, 60, 61, 62, 68, 69, 73, 75, 76, 77, 79, 82, 84, 85, 88, 90]",0.8444241871771498,0.8444241871771498,-,-,Improved,"['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'x_acc_std', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'speed_off_kur', 'pressure_on_mean', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height']","['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'x_acc_std', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'speed_off_kur', 'pressure_on_mean', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height']"
3,47,"[1, 4, 6, 8, 12, 13, 14, 16, 17, 19, 23, 24, 25, 29, 30, 32, 33, 36, 38, 39, 41, 42, 43, 44, 47, 48, 49, 52, 54, 55, 58, 60, 61, 62, 66, 68, 69, 73, 75, 76, 77, 79, 82, 84, 85, 88, 90]",0.8438164691583105,0.8444241871771498,0.993818612310559,0.7784140251855011,Accept,"['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'x_acc_std', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'speed_off_std', 'speed_off_kur', 'pressure_on_mean', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height']","['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'x_acc_std', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'speed_off_kur', 'pressure_on_mean', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height']"
4,47,"[1, 4, 6, 8, 12, 13, 14, 16, 17, 19, 24, 25, 29, 30, 32, 33, 36, 38, 39, 41, 42, 43, 44, 47, 48, 49, 52, 54, 55, 58, 60, 61, 62, 66, 68, 69, 73, 75, 76, 77, 79, 82, 84, 85, 88, 90, 91]",0.8426010331206321,0.8444241871771498,0.9875517216767448,0.08660552052316206,Accept,"['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'speed_off_std', 'speed_off_kur', 'pressure_on_mean', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height', 'ratio']","['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'x_acc_std', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'speed_off_kur', 'pressure_on_mean', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height']"
5,47,"[1, 4, 6, 8, 12, 13, 14, 16, 19, 24, 25, 29, 30, 31, 32, 33, 36, 38, 39, 41, 42, 43, 44, 47, 48, 49, 52, 54, 55, 58, 60, 61, 62, 66, 68, 69, 73, 75, 76, 77, 79, 82, 84, 85, 88, 90, 91]",0.8432087511394712,0.8444241871771498,-,-,Improved,"['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_abs_speed_kur', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'speed_off_std', 'speed_off_kur', 'pressure_on_mean', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height', 'ratio']","['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'x_acc_std', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'speed_off_kur', 'pressure_on_mean', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height']"
6,46,"[1, 4, 6, 8, 12, 13, 14, 16, 19, 24, 25, 30, 31, 32, 33, 36, 38, 39, 41, 42, 43, 44, 47, 48, 49, 52, 54, 55, 58, 60, 61, 62, 66, 68, 69, 73, 75, 76, 77, 79, 82, 84, 85, 88, 90, 91]",0.8441203281677302,0.8444241871771498,-,-,Improved,"['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_abs_speed_kur', 'x_abs_acc_mean', 'x_abs_acc_std', 'acc_mean', 'acc_std', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'speed_off_std', 'speed_off_kur', 'pressure_on_mean', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height', 'ratio']","['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'x_acc_std', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'speed_off_kur', 'pressure_on_mean', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height']"
7,45,"[1, 4, 6, 8, 12, 13, 14, 16, 19, 24, 25, 30, 31, 32, 33, 36, 38, 39, 42, 43, 44, 47, 48, 49, 52, 54, 55, 58, 60, 61, 62, 66, 68, 69, 73, 75, 76, 77, 79, 82, 84, 85, 88, 90, 91]",0.8413855970829535,0.8444241871771498,0.971370667669673,0.13528225171557218,Accept,"['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_abs_speed_kur', 'x_abs_acc_mean', 'x_abs_acc_std', 'acc_mean', 'acc_std', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'speed_off_std', 'speed_off_kur', 'pressure_on_mean', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height', 'ratio']","['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'x_acc_std', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'speed_off_kur', 'pressure_on_mean', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height']"
8,45,"[1, 4, 6, 8, 12, 13, 14, 16, 19, 20, 24, 25, 31, 32, 33, 36, 38, 39, 42, 43, 44, 47, 48, 49, 52, 54, 55, 58, 60, 61, 62, 66, 68, 69, 73, 75, 76, 77, 79, 82, 84, 85, 88, 90, 91]",0.8415375265876633,0.8444241871771498,-,-,Improved,"['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'acc_std', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'speed_off_std', 'speed_off_kur', 'pressure_on_mean', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height', 'ratio']","['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'x_acc_std', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'speed_off_kur', 'pressure_on_mean', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height']"
9,44,"[1, 4, 6, 8, 12, 13, 14, 16, 19, 20, 24, 25, 31, 32, 33, 36, 38, 39, 42, 43, 44, 47, 48, 49, 52, 54, 55, 58, 60, 62, 66, 68, 69, 73, 75, 76, 77, 79, 82, 84, 85, 88, 90, 91]",0.8395624430264357,0.8444241871771498,0.9788230070302406,0.8927078976777993,Accept,"['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'acc_std', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_std', 'speed_off_std', 'speed_off_kur', 'pressure_on_mean', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height', 'ratio']","['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'x_acc_std', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'speed_off_kur', 'pressure_on_mean', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height']"
10,43,"[1, 4, 6, 8, 12, 13, 14, 16, 19, 20, 24, 25, 31, 32, 33, 36, 38, 39, 42, 43, 44, 47, 48, 49, 52, 54, 55, 58, 60, 62, 66, 68, 73, 75, 76, 77, 79, 82, 84, 85, 88, 90, 91]",0.8454876937101186,0.8454876937101186,-,-,Improved,"['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'acc_std', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_std', 'speed_off_std', 'speed_off_kur', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height', 'ratio']","['num_stroke_per_sec', 'x_abs_speed_mean', 'y_speed_mean', 'y_abs_speed_mean', 'x_speed_skew', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'acc_std', 'length_mean', 'length_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'direction_std', 'stroke_interval_mean', 'stroke_interval_std', 'x_speed_on_skew', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_kur', 'speed_on_std', 'speed_on_skew', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_std', 'speed_off_std', 'speed_off_kur', 'pressure_change_mean', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'x_std', 'x_kur', 'y_mean', 'y_kur', 'height', 'ratio']"
