Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome,Current Subset,Best Subset
1,47,"[4, 5, 6, 7, 9, 13, 14, 16, 17, 19, 20, 24, 25, 29, 30, 31, 35, 36, 39, 40, 43, 48, 49, 50, 51, 52, 53, 58, 59, 60, 61, 62, 63, 66, 67, 68, 71, 73, 74, 75, 76, 77, 80, 87, 89, 90, 92]",0.18686868686868688,0.18686868686868688,-,-,Improved,"['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_mean', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'length_kur', 'time_mean', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_skew', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'y_speed_off_skew', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_kur', 'y_skew', 'width', 'height', 'area']","['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_mean', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'length_kur', 'time_mean', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_skew', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'y_speed_off_skew', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_kur', 'y_skew', 'width', 'height', 'area']"
2,46,"[4, 5, 6, 7, 9, 13, 14, 16, 17, 19, 20, 24, 25, 29, 30, 31, 35, 36, 39, 40, 43, 48, 49, 50, 51, 52, 53, 58, 60, 61, 62, 63, 66, 67, 68, 71, 73, 74, 75, 76, 77, 80, 87, 89, 90, 92]",0.1919191919191919,0.1919191919191919,-,-,Improved,"['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_mean', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'length_kur', 'time_mean', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'y_speed_off_skew', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_kur', 'y_skew', 'width', 'height', 'area']","['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_mean', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'length_kur', 'time_mean', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'y_speed_off_skew', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_kur', 'y_skew', 'width', 'height', 'area']"
3,45,"[4, 5, 6, 7, 9, 13, 16, 17, 19, 20, 24, 25, 29, 30, 31, 35, 36, 39, 40, 43, 48, 49, 50, 51, 52, 53, 58, 60, 61, 62, 63, 66, 67, 68, 71, 73, 74, 75, 76, 77, 80, 87, 89, 90, 92]",0.18434343434343434,0.1919191919191919,0.9256160516102612,0.2348862612915683,Accept,"['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_mean', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'length_kur', 'time_mean', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'y_speed_off_skew', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_kur', 'y_skew', 'width', 'height', 'area']","['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_mean', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'length_kur', 'time_mean', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'y_speed_off_skew', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_kur', 'y_skew', 'width', 'height', 'area']"
4,44,"[4, 5, 6, 7, 9, 13, 16, 17, 19, 20, 24, 25, 29, 30, 31, 35, 36, 39, 40, 43, 48, 49, 50, 51, 52, 53, 58, 60, 61, 62, 63, 66, 67, 68, 71, 73, 74, 75, 76, 77, 80, 89, 90, 92]",0.1830808080808081,0.1919191919191919,0.9870715453892129,0.035348395854177594,Accept,"['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_mean', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'length_kur', 'time_mean', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'y_speed_off_skew', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_kur', 'width', 'height', 'area']","['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_mean', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'length_kur', 'time_mean', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'y_speed_off_skew', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_kur', 'y_skew', 'width', 'height', 'area']"
5,44,"[4, 5, 7, 9, 13, 16, 17, 19, 20, 24, 25, 29, 30, 31, 35, 36, 39, 40, 43, 48, 49, 50, 51, 52, 53, 58, 60, 61, 62, 63, 66, 67, 68, 71, 73, 74, 75, 76, 77, 79, 80, 89, 90, 92]",0.18055555555555555,0.1919191919191919,0.9740541388783407,0.474929838666976,Accept,"['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'length_kur', 'time_mean', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'y_speed_off_skew', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'pressure_change_speed_kur', 'width', 'height', 'area']","['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_mean', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'length_kur', 'time_mean', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'y_speed_off_skew', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_kur', 'y_skew', 'width', 'height', 'area']"
6,44,"[4, 5, 7, 9, 13, 16, 17, 19, 20, 24, 25, 29, 30, 31, 35, 36, 38, 39, 40, 43, 48, 49, 50, 51, 52, 53, 58, 60, 61, 62, 63, 66, 67, 68, 71, 73, 74, 75, 77, 79, 80, 89, 90, 92]",0.1755050505050505,0.1919191919191919,0.9482777216686255,0.007361808098834133,Accept,"['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'length_kur', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'y_speed_off_skew', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'pressure_change_speed_kur', 'width', 'height', 'area']","['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_mean', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'length_kur', 'time_mean', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'y_speed_off_skew', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_kur', 'y_skew', 'width', 'height', 'area']"
7,45,"[4, 5, 7, 9, 13, 16, 17, 19, 20, 24, 25, 29, 30, 31, 35, 36, 38, 39, 40, 43, 48, 49, 50, 51, 52, 53, 58, 60, 61, 62, 63, 65, 66, 67, 68, 71, 73, 74, 75, 77, 79, 80, 89, 90, 92]",0.1755050505050505,0.1919191919191919,1.0,0.6051324601493602,Accept,"['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'length_kur', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'y_speed_off_skew', 'speed_off_mean', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'pressure_change_speed_kur', 'width', 'height', 'area']","['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_mean', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'length_kur', 'time_mean', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'y_speed_off_skew', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_kur', 'y_skew', 'width', 'height', 'area']"
8,45,"[4, 5, 7, 9, 13, 16, 17, 19, 20, 22, 24, 25, 29, 30, 31, 36, 38, 39, 40, 43, 48, 49, 50, 51, 52, 53, 58, 60, 61, 62, 63, 65, 66, 67, 68, 71, 73, 74, 75, 77, 79, 80, 89, 90, 92]",0.1856060606060606,0.1919191919191919,-,-,Improved,"['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_acc_mean', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'y_speed_off_skew', 'speed_off_mean', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'pressure_change_speed_kur', 'width', 'height', 'area']","['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_mean', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'length_kur', 'time_mean', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'y_speed_off_skew', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_kur', 'y_skew', 'width', 'height', 'area']"
9,44,"[4, 5, 7, 9, 13, 16, 17, 19, 20, 22, 24, 25, 29, 30, 31, 36, 38, 39, 40, 43, 48, 49, 50, 51, 52, 53, 58, 60, 61, 63, 65, 66, 67, 68, 71, 73, 74, 75, 77, 79, 80, 89, 90, 92]",0.1856060606060606,0.1919191919191919,1.0,0.062162228321216206,Accept,"['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_acc_mean', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_skew', 'speed_off_mean', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'pressure_change_speed_kur', 'width', 'height', 'area']","['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_mean', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'x_abs_speed_skew', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'length_kur', 'time_mean', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_mean', 'y_speed_off_std', 'y_speed_off_skew', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_kur', 'pressure_change_speed_mean', 'pressure_change_speed_kur', 'y_skew', 'width', 'height', 'area']"
10,43,"[4, 5, 7, 9, 13, 16, 17, 19, 20, 22, 24, 25, 29, 30, 31, 36, 38, 39, 40, 43, 48, 49, 50, 51, 52, 53, 58, 60, 63, 65, 66, 67, 68, 71, 73, 74, 75, 77, 79, 80, 89, 90, 92]",0.19318181818181818,0.19318181818181818,-,-,Improved,"['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_acc_mean', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_skew', 'speed_off_mean', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'pressure_change_speed_kur', 'width', 'height', 'area']","['x_abs_speed_mean', 'x_abs_speed_std', 'y_speed_std', 'y_abs_speed_std', 'x_speed_kur', 'y_speed_skew', 'y_speed_kur', 'y_abs_speed_kur', 'speed_skew', 'x_acc_mean', 'x_abs_acc_mean', 'x_abs_acc_std', 'y_abs_acc_std', 'acc_mean', 'acc_std', 'time_mean', 'ratio_writing_time', 'displacement_mean', 'displacement_std', 'stroke_interval_mean', 'x_speed_on_kur', 'y_speed_on_mean', 'y_speed_on_std', 'y_speed_on_skew', 'y_speed_on_kur', 'speed_on_mean', 'x_speed_off_std', 'x_speed_off_kur', 'y_speed_off_skew', 'speed_off_mean', 'speed_off_std', 'speed_off_skew', 'speed_off_kur', 'pressure_on_skew', 'pressure_change_mean', 'pressure_change_std', 'pressure_change_skew', 'pressure_change_speed_mean', 'pressure_change_speed_skew', 'pressure_change_speed_kur', 'width', 'height', 'area']"
