Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
2,2,"[2, 30]",0.7555454269219082,0.7555454269219082,-,-,Improved
3,3,"[2, 30, 78]",0.7733211789729566,0.7733211789729566,-,-,Improved
4,4,"[2, 30, 66, 78]",0.7910969310240049,0.7910969310240049,-,-,Improved
5,4,"[2, 30, 66, 78]",0.7859313278638712,0.7910969310240049,0.5872102736305707,0.6752158875430874,Reject
6,5,"[2, 22, 30, 66, 78]",0.8021877848678214,0.8021877848678214,-,-,Improved
7,4,"[22, 30, 66, 78]",0.8072014585232452,0.8072014585232452,-,-,Improved
8,4,"[22, 30, 66, 78]",0.7996049832877545,0.8072014585232452,0.4462548169419578,0.9239274385056,Reject
9,4,"[22, 30, 66, 78]",0.7979337587359465,0.8072014585232452,0.36997543339946076,0.4537494117845917,Reject
10,4,"[30, 66, 78, 88]",0.8024916438772409,0.8072014585232452,0.6002472500802274,0.11476739071015729,Accept
11,5,"[30, 32, 66, 78, 88]",0.799149194773625,0.8072014585232452,0.693580544903502,0.21666590678730202,Accept
12,6,"[30, 32, 58, 66, 78, 88]",0.8002127013065937,0.8072014585232452,-,-,Improved
13,6,"[30, 32, 40, 58, 66, 88]",0.7980856882406563,0.8072014585232452,0.7885453923363381,0.6660021854524196,Accept
14,7,"[30, 32, 40, 58, 66, 81, 88]",0.8040109389243391,0.8072014585232452,-,-,Improved
15,7,"[18, 30, 32, 40, 58, 66, 88]",0.8076572470373746,0.8076572470373746,-,-,Improved
16,8,"[18, 30, 32, 40, 55, 58, 66, 88]",0.8094804010938924,0.8094804010938924,-,-,Improved
17,8,"[18, 30, 32, 40, 55, 58, 66, 88]",0.7851716803403221,0.8094804010938924,0.059225466453828875,0.4014190247973215,Reject
18,8,"[18, 30, 40, 55, 58, 66, 88, 91]",0.8129747797022182,0.8129747797022182,-,-,Improved
19,7,"[18, 30, 40, 58, 66, 88, 91]",0.8084168945609237,0.8129747797022182,0.5823341643533961,0.016081362987717118,Accept
20,7,"[18, 30, 40, 58, 66, 75, 88]",0.8096323305986023,0.8129747797022182,-,-,Improved
21,7,"[18, 30, 58, 66, 75, 78, 88]",0.8062898814949864,0.8129747797022182,0.6672621620599692,0.22507382464066983,Accept
22,7,"[18, 30, 41, 58, 66, 75, 78]",0.8149498632634458,0.8149498632634458,-,-,Improved
23,8,"[11, 18, 30, 41, 58, 66, 75, 78]",0.8173807353388028,0.8173807353388028,-,-,Improved
24,9,"[11, 18, 30, 41, 51, 58, 66, 75, 78]",0.8233059860224856,0.8233059860224856,-,-,Improved
