Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome,Acc,Pre,Rec,F1,AUC
2,2,"[4, 56]",0.5079473491390589,0.5079473491390589,-,-,Improved,0.5292235757352036,0.10099685204616998,0.49107142857142855,0.16753698868581374,0.5121842230695901
3,3,"[4, 56, 71]",0.5384414089077301,0.5384414089077301,-,-,Improved,0.6511627906976745,0.11022424933485367,0.36989795918367346,0.1698389458272328,0.5255454660415168
4,2,"[56, 71]",0.534374618377209,0.5384414089077301,0.6603823555430711,0.45839909272563206,Accept,0.5993601574996924,0.10736975857687421,0.43112244897959184,0.17192268565615462,0.5242225345810394
5,2,"[56, 69]",0.5452815067776208,0.5452815067776208,-,-,Improved,0.6106804478897502,0.10700132100396301,0.413265306122449,0.16998950682056663,0.5225117215618373
6,3,"[0, 56, 69]",0.5472139355559045,0.5472139355559045,-,-,Improved,0.6477174849267873,0.10847457627118644,0.3673469387755102,0.1674905495783658,0.5224995622653256
7,4,"[0, 43, 56, 69]",0.5486385879520596,0.5486385879520596,-,-,Improved,0.6595299618555432,0.10260521042084168,0.32653061224489793,0.1561451662092101,0.5108071827396353
8,4,"[0, 43, 56, 69]",0.523208335514035,0.5486385879520596,0.06713211131760735,0.7087975741097441,Reject,0.5720438046019442,0.09622302158273381,0.4094387755102041,0.15582524271844658,0.49942182545086666
9,3,"[43, 56, 69]",0.5514761169553916,0.5514761169553916,-,-,Improved,0.6382428940568475,0.09776119402985074,0.33418367346938777,0.151270207852194,0.5024452345285111
10,3,"[56, 69, 87]",0.5484848484848485,0.5514761169553916,0.7231267521421649,0.65952944643237,Accept,0.6419342930970838,0.10745937961595273,0.3711734693877551,0.16666666666666666,0.5210082245481605
11,3,"[26, 56, 69]",0.5549529186511052,0.5549529186511052,-,-,Improved,0.6455026455026455,0.11267085334318434,0.38903061224489793,0.1747350329418505,0.5309581768837182
12,4,"[26, 32, 56, 69]",0.5577541389717555,0.5577541389717555,-,-,Improved,0.6702350190722284,0.1059850374064838,0.3252551020408163,0.15987460815047022,0.5161615289585806
13,5,"[26, 32, 56, 68, 69]",0.5686456534254462,0.5686456534254462,-,-,Improved,0.6856158484065461,0.11348756001745962,0.33163265306122447,0.16910569105691053,0.5275213517246746
14,6,"[26, 32, 56, 68, 69, 74]",0.5864371260096649,0.5864371260096649,-,-,Improved,0.6944752061031131,0.11368804001819009,0.31887755102040816,0.16761649346295676,0.5267273496624578
15,6,"[26, 32, 56, 68, 69, 74]",0.5642707297500044,0.5864371260096649,0.07997633298528854,0.42578199552587537,Reject,0.6909068536975513,0.11803713527851459,0.3405612244897959,0.17531188443860798,0.5344369516157274
16,6,"[26, 32, 56, 65, 69, 74]",0.5902356902356902,0.5902356902356902,-,-,Improved,0.6850006152331733,0.1132404181184669,0.33163265306122447,0.16883116883116883,0.5271808914223459
17,7,"[26, 32, 49, 56, 65, 69, 74]",0.5886821583712776,0.5902356902356902,0.8347433359564252,0.03768779088929486,Accept,0.6934908330257168,0.11327594019030358,0.31887755102040816,0.1671681711802073,0.5261826131787319
18,8,"[26, 32, 49, 56, 60, 65, 69, 74]",0.5850480190506098,0.5902356902356902,0.6525850482317317,0.20069747563344376,Accept,0.7038267503383783,0.11883513386566463,0.3227040816326531,0.17370408513559904,0.5336113353825801
19,9,"[26, 32, 49, 56, 60, 65, 69, 73, 74]",0.5893679890441548,0.5902356902356902,-,-,Improved,0.7064107296665436,0.12181303116147309,0.32908163265306123,0.17780840799448655,0.5378895838602362
20,9,"[26, 32, 42, 56, 60, 65, 69, 73, 74]",0.5905492751347674,0.5905492751347674,-,-,Improved,0.7016119109142365,0.12031466913465988,0.33163265306122447,0.1765704584040747,0.5363733195852222
21,9,"[26, 32, 42, 56, 60, 65, 69, 73, 74]",0.5864691823241046,0.5905492751347674,0.6102679543215637,0.9233561323917833,Reject,0.7124400147655962,0.12614347616754934,0.33418367346938777,0.18315274379587554,0.5435047469893581
22,9,"[26, 32, 42, 44, 60, 65, 69, 73, 74]",0.5976847490448526,0.5976847490448526,-,-,Improved,0.6985357450473729,0.12170753860127158,0.34183673469387754,0.17950435365036838,0.5392283224061788
23,9,"[26, 32, 42, 44, 45, 60, 65, 73, 74]",0.5834172903473421,0.5976847490448526,0.17169998012205656,0.018054714771251645,Accept,0.7091177556293835,0.1252371916508539,0.336734693877551,0.18257261410788383,0.5428055874399331
24,9,"[26, 32, 42, 44, 45, 55, 65, 73, 74]",0.5966159871600285,0.5976847490448526,-,-,Improved,0.7008736311061893,0.11998154130133826,0.33163265306122447,0.1762114537444934,0.5359647672224276
25,10,"[26, 32, 42, 44, 45, 55, 65, 73, 74, 91]",0.5934142809790478,0.5976847490448526,0.6680224235642988,0.22502574192678293,Accept,0.7107173618801526,0.11836337067705796,0.30994897959183676,0.17130771942192458,0.5317278603529114
26,10,"[26, 32, 42, 44, 55, 65, 73, 74, 80, 91]",0.594404973744352,0.5976847490448526,-,-,Improved,0.716254460440507,0.12101593625498008,0.30994897959183676,0.17406876790830947,0.5347920030738702
27,10,"[26, 32, 42, 55, 65, 70, 73, 74, 80, 91]",0.5996606828213046,0.5996606828213046,-,-,Improved,0.7022271440876092,0.11882572227399814,0.3252551020408163,0.17406143344709898,0.5338654646796754
28,10,"[26, 32, 42, 55, 65, 70, 73, 74, 80, 91]",0.5983710158580625,0.5996606828213046,0.8457936754878643,0.9710938045085687,Reject,0.6998892580287929,0.11988975654570509,0.33290816326530615,0.1762917933130699,0.5359896937802766
29,10,"[26, 32, 42, 55, 69, 70, 73, 74, 80, 91]",0.6058109157202421,0.6058109157202421,-,-,Improved,0.7073951027439399,0.11608863198458574,0.30739795918367346,0.16853146853146853,0.528750048637186
30,11,"[26, 32, 42, 55, 69, 70, 73, 74, 80, 83, 91]",0.6089428394480209,0.6089428394480209,-,-,Improved,0.7093638488987326,0.11884057971014493,0.3137755102040816,0.1723896285914506,0.5326878368125134
31,10,"[32, 42, 55, 69, 70, 73, 74, 80, 83, 91]",0.6098181730953752,0.6098181730953752,-,-,Improved,0.7045650301464255,0.12201963534361851,0.33290816326530615,0.17858364693807732,0.5385771920779752
32,11,"[32, 42, 55, 61, 69, 70, 73, 74, 80, 83, 91]",0.6110873414629893,0.6110873414629893,-,-,Improved,0.7129322013042944,0.1227471992206527,0.32142857142857145,0.17765244977088473,0.5380804848154704
33,12,"[32, 42, 55, 57, 61, 69, 70, 73, 74, 80, 83, 91]",0.6080827707123043,0.6110873414629893,0.6634575245387663,0.04418933734637842,Accept,0.7173618801525778,0.12605042016806722,0.3252551020408163,0.1816886355539722,0.5422407881169626
34,13,"[32, 42, 55, 57, 61, 69, 70, 73, 74, 80, 83, 84, 91]",0.607427469862703,0.6110873414629893,0.9135759401119752,0.02988288542697415,Accept,0.7200689061154177,0.12214901165737456,0.30739795918367346,0.17482771128037722,0.5357635308651583
